Date,Coin,actual,predicted,Residual
2022-03-06,algo,-0.4159668478805017,-0.41596777180476313,9.239242614311749e-07
2022-03-07,algo,-0.4159682879764448,-0.4159674724429399,-8.155335048942725e-07
2022-03-08,algo,-0.4159673149386454,-0.41596751764913137,2.027104859525508e-07
2022-03-09,algo,-0.4159652131769986,-0.4159654840329169,2.708559183051129e-07
2022-03-10,algo,-0.4159680466630706,-0.4159686135139233,5.668508527012506e-07
2022-03-11,algo,-0.4159703352479749,-0.4159682621545133,-2.073093461563147e-06
2022-03-12,algo,-0.4159700472287863,-0.4159705618002813,5.145714950249847e-07
2022-03-13,algo,-0.4159718998927564,-0.4159720822169258,1.8232416937324913e-07
2022-03-14,algo,-0.4159699538171575,-0.4159707596735117,8.058563542023833e-07
2022-03-15,algo,-0.4159691753869179,-0.4159691865649275,1.1178009573509229e-08
2022-03-16,algo,-0.4159675562520197,-0.4159671695775204,-3.8667449930862574e-07
2022-03-17,algo,-0.4159671981741095,-0.41596673728975414,-4.6088435534663574e-07
2022-03-18,algo,-0.4159661472932861,-0.41596596003475694,-1.8725852918288766e-07
2022-03-19,algo,-0.4159653766473489,-0.4159657379542817,3.6130693281677395e-07
2022-03-20,algo,-0.4159671903898071,-0.41596747198030615,2.815904990294271e-07
2022-03-21,algo,-0.415960480321142,-0.4159614646773318,9.843561897815434e-07
2022-03-22,algo,-0.4159605737327708,-0.4159598093078545,-7.644249163107908e-07
2022-03-23,algo,-0.4159596162635761,-0.4159590475889357,-5.686746403776866e-07
2022-03-24,algo,-0.4159555295048184,-0.41595482101482895,-7.08489989453831e-07
2022-03-25,algo,-0.4159556929751687,-0.4159560397447206,3.467695519066005e-07
2022-03-26,algo,-0.4159539337228274,-0.4159546452288872,7.115060597917555e-07
2022-03-27,algo,-0.4159509990408241,-0.4159517609372934,7.618964693034691e-07
2022-03-28,algo,-0.4159542918007375,-0.41595238124371803,-1.9105570194799526e-06
2022-03-29,algo,-0.4159530696652614,-0.4159537954137148,7.257484533895742e-07
2022-03-30,algo,-0.4159527894303751,-0.4159519358659952,-8.5356437989903e-07
2022-03-31,algo,-0.4159525792542105,-0.41595413359803635,1.5543438258713849e-06
2022-04-01,algo,-0.4159518397454829,-0.41595131270025354,-5.270452293482109e-07
2022-04-02,algo,-0.4159543073693423,-0.41595395759755316,-3.4977178914319396e-07
2022-04-03,algo,-0.4159521277646715,-0.41595305036910607,9.226044345722606e-07
2022-04-04,algo,-0.4159562456606388,-0.41595620261071553,-4.304992329284829e-08
2022-04-05,algo,-0.4159599509885792,-0.41595807464623097,-1.8763423482170971e-06
2022-04-06,algo,-0.415965259882813,-0.41596596518955786,7.053067448414829e-07
2022-04-07,algo,-0.4159627377688368,-0.41596330602740045,5.6825856364906e-07
2022-04-08,algo,-0.4159658047839806,-0.4159680647775051,2.2599935244893565e-06
2022-04-09,algo,-0.4159635940421003,-0.4159617393259686,-1.8547161317328253e-06
2022-04-10,algo,-0.4159664664496842,-0.41596597961855686,-4.868311273553694e-07
2022-04-11,algo,-0.4159709502078642,-0.4159705417002366,-4.0850762755839654e-07
2022-04-12,algo,-0.4159684047409808,-0.41596866129427623,2.5655329544127525e-07
2022-04-13,algo,-0.4159668323118969,-0.4159674599304875,6.276185905984555e-07
2022-04-14,algo,-0.4159683502508641,-0.41596836218609706,1.1935232968607323e-08
2022-04-15,algo,-0.4159673772130646,-0.41596722856116447,-1.4865190012258722e-07
2022-04-16,algo,-0.4159670424880616,-0.4159670502549303,7.766868703740215e-09
2022-04-17,algo,-0.4159696035235498,-0.4159696303504749,2.6826925125789103e-08
2022-04-18,algo,-0.4159675718206245,-0.41596725095258713,-3.208680373623096e-07
2022-04-19,algo,-0.4159658281368878,-0.41596602789916165,1.9976227383367018e-07
2022-04-20,algo,-0.4159671670368999,-0.4159666169656651,-5.500712347838999e-07
2022-04-21,algo,-0.4159689885636605,-0.41596907237522956,8.381156907377729e-08
2022-04-22,algo,-0.4159689652107533,-0.4159690254367997,6.022604637223594e-08
2022-04-23,algo,-0.4159698681898311,-0.41597037029503353,5.021052024156702e-07
2022-04-24,algo,-0.4159703819537893,-0.4159703451744666,-3.6779322698521355e-08
2022-04-25,algo,-0.4159702029148342,-0.41597115210706653,9.491922323134894e-07
2022-04-26,algo,-0.4159738537526577,-0.4159724599017185,-1.3938509392241727e-06
2022-04-27,algo,-0.4159726627543912,-0.41597287172206965,2.089676784389205e-07
2022-04-28,algo,-0.4159705765613492,-0.4159706844235777,1.0786222848224725e-07
2022-04-29,algo,-0.4159752782799962,-0.41597601711052046,7.38830524260603e-07
2022-04-30,algo,-0.4159807506445802,-0.4159799334217489,-8.172228312952612e-07
2022-05-01,algo,-0.4159780728445562,-0.4159763563841349,-1.716460421297139e-06
2022-05-02,algo,-0.4159769908265232,-0.4159788498568542,1.8590303310084266e-06
2022-05-03,algo,-0.4159727250288104,-0.41597326706154375,5.420327333638397e-07
2022-05-04,algo,-0.4159692532299419,-0.4159711342027762,1.8809728343227583e-06
2022-05-05,algo,-0.41597555073058,-0.41597397850105733,-1.5722295226838767e-06
2022-05-06,algo,-0.4159706076985587,-0.4159684813141165,-2.126384442191487e-06
2022-05-07,algo,-0.4159666766258489,-0.4159674240232288,7.473973798743927e-07
2022-05-08,algo,-0.4159681945648161,-0.41596827218378984,7.761897374836124e-08
2022-05-09,algo,-0.4159802680178317,-0.4159799612778506,-3.0673998113739387e-07
2022-05-10,algo,-0.4159794117445682,-0.41597843025540193,-9.814891662740521e-07
2022-05-11,algo,-0.4159897103766376,-0.415993016477516,3.3061008783974444e-06
2022-05-12,algo,-0.4159920690202635,-0.4159879845958968,-4.084424366668227e-06
2022-05-13,algo,-0.4159904810225748,-0.415992699697702,2.218675127174663e-06
2022-05-14,algo,-0.4159888930248861,-0.41598860183696007,-2.9118792604920785e-07
2022-05-15,algo,-0.4159867756946345,-0.4159894507770952,2.6750824607124635e-06
2022-05-16,algo,-0.4159891421225627,-0.41598947656950674,3.344469440280662e-07
2022-05-17,algo,-0.4159864254010266,-0.41598284291552967,-3.5824854969224162e-06
2022-05-18,algo,-0.4159912438842096,-0.4159919497921571,7.059079474847074e-07
2022-05-19,algo,-0.4159898115725687,-0.41598953126290145,-2.803096672554517e-07
2022-05-20,algo,-0.4159912360999072,-0.4159922076553459,9.715554387113023e-07
2022-05-21,algo,-0.4159911115510688,-0.4159909678847146,-1.4366635420204332e-07
2022-05-22,algo,-0.4159905277283892,-0.4159904292209106,-9.850747856310349e-08
2022-05-23,algo,-0.4159925127255,-0.4159932531869835,7.404614835171408e-07
2022-05-24,algo,-0.4159923414708473,-0.4159918659367183,-4.755341290185733e-07
2022-05-25,algo,-0.4159933845673683,-0.41599301535250105,-3.6921486723517916e-07
2022-05-26,algo,-0.4159954396232008,-0.41599475690321924,-6.827199815484519e-07
2022-05-27,algo,-0.4159969108563536,-0.41599730910913635,3.9825278275174014e-07
2022-05-28,algo,-0.4159963659551859,-0.41599655980011757,1.9384493166185734e-07
2022-05-29,algo,-0.415995462976108,-0.4159964551345538,9.921584457894816e-07
2022-05-30,algo,-0.4159922480592186,-0.41599191958575,-3.2847346859155024e-07
2022-05-31,algo,-0.4159929564307366,-0.4159931214006174,1.649698808114941e-07
2022-06-01,algo,-0.4159950037022666,-0.41599395901950986,-1.0446827567456296e-06
2022-06-02,algo,-0.4159942097034223,-0.4159938022540579,-4.0744936441461377e-07
2022-06-03,algo,-0.4159952839371529,-0.4159961390232464,8.550860934875004e-07
2022-06-04,algo,-0.4159947078987757,-0.41599465028520843,-5.761356725031419e-08
2022-06-05,algo,-0.4159944665854013,-0.4159947873802288,3.2079482753522015e-07
2022-06-06,algo,-0.4159928163132935,-0.4159924550455762,-3.6126771729705354e-07
2022-06-07,algo,-0.4159938827627217,-0.4159939458051952,6.304247351929249e-08
2022-06-08,algo,-0.4159925205098024,-0.41599206663533217,-4.538744702298203e-07
2022-06-09,algo,-0.4159934779789971,-0.41599401319773416,5.35218737052201e-07
2022-06-10,algo,-0.4159962258377427,-0.41599603752327596,-1.8831446674250074e-07
2022-06-11,algo,-0.4159976581493835,-0.4159979547600404,2.9661065692465627e-07
2022-06-12,algo,-0.4159996664994017,-0.41599868377357613,-9.827258255490356e-07
2022-06-13,algo,-0.4160012778499975,-0.41600254798715647,1.2701371589485255e-06
2022-06-14,algo,-0.4160009353406921,-0.4160003910035753,-5.443371168256661e-07
2022-06-15,algo,-0.4159984755011351,-0.41599916970251793,6.942013828226123e-07
2022-06-16,algo,-0.4160014413203478,-0.41600041128456156,-1.0300357862202958e-06
2022-06-17,algo,-0.4160008030075514,-0.41600008891696494,-7.140905864400082e-07
2022-06-18,algo,-0.4160019317313987,-0.41600348115465596,1.5494232572521582e-06
2022-06-19,algo,-0.4160004760668508,-0.4159999173695014,-5.586973493842962e-07
2022-06-20,algo,-0.4160001569104525,-0.4160009493852346,7.924747820742262e-07
2022-06-21,algo,-0.4159995808720753,-0.41599888513767624,-6.95734399036585e-07
2022-06-22,algo,-0.4160005227726651,-0.4160002376323195,-2.8514034555726653e-07
2022-06-23,algo,-0.4159987713046261,-0.41599900991771377,2.38613087677475e-07
2022-06-24,algo,-0.4159976970708955,-0.41599750636303534,-1.9070786017039154e-07
2022-06-25,algo,-0.4159975413848477,-0.4159986308528393,1.0894679915995908e-06
2022-06-26,algo,-0.4159991215982339,-0.4159982298532289,-8.917450050049958e-07
2022-06-27,algo,-0.4159991683040483,-0.41599942092941605,2.526253677359591e-07
2022-06-28,algo,-0.4160006161842939,-0.41599969739856457,-9.187857293313506e-07
2022-06-29,algo,-0.4160014724575574,-0.4160018935974551,4.2113989767722515e-07
2022-06-30,algo,-0.4160004449296412,-0.4160007556182537,3.106886125037178e-07
2022-07-01,algo,-0.4160011065953448,-0.4160006038643386,-5.027310061578305e-07
2022-07-02,algo,-0.4160010287523208,-0.41600166878366845,6.400313476428998e-07
2022-07-03,algo,-0.4160008497133657,-0.4160005347540335,-3.14959332226028e-07
2022-07-04,algo,-0.4160000790674286,-0.4160007896944705,7.106270419332539e-07
2022-07-05,algo,-0.4160009976151113,-0.41600069930368305,-2.983114282262278e-07
2022-07-06,algo,-0.416000756301737,-0.41600037841071735,-3.7789101964280647e-07
2022-07-07,algo,-0.4159998377540543,-0.41599987018442275,3.2430368446245694e-08
2022-07-08,algo,-0.4160004604982459,-0.41600064430886863,1.8381062272254667e-07
2022-07-09,algo,-0.4159999155970783,-0.4159999112387011,-4.358377159174864e-09
2022-07-10,algo,-0.416000756301737,-0.4160008645950959,1.0829335889139813e-07
2022-07-11,algo,-0.41600183831977,-0.41600097359728805,-8.647224819524624e-07
2022-07-12,algo,-0.4160021808290754,-0.4160021871231578,6.2940823664092704e-09
2022-07-13,algo,-0.4160008263604586,-0.41600144342716455,6.170667059546275e-07
2022-07-14,algo,-0.4159992694999794,-0.4160000449796931,7.754797137216052e-07
2022-07-15,algo,-0.4159994407546321,-0.41599933060465094,-1.1014998113623164e-07
2022-07-16,algo,-0.4159984365796231,-0.4159980672970378,-3.6928258528856617e-07
2022-07-17,algo,-0.4159987401674165,-0.4159980158675119,-7.242999046086496e-07
2022-07-18,algo,-0.4159969264249584,-0.4159975626276475,6.362026890860406e-07
2022-07-19,algo,-0.4159959767400661,-0.4159959025654364,-7.417462971615052e-08
2022-07-20,algo,-0.4159980940703177,-0.4159980235970597,-7.047325800701998e-08
2022-07-21,algo,-0.4159977359924075,-0.41599725296830936,-4.830240981634759e-07
2022-07-22,algo,-0.4159986389714854,-0.4159983402782829,-2.986932025050848e-07
2022-07-23,algo,-0.41599884914765,-0.41599951050495837,6.613573083624757e-07
2022-07-24,algo,-0.4159984210110183,-0.4159985700426294,1.490316111074641e-07
2022-07-25,algo,-0.4160006784587131,-0.41600145069071914,7.722320060632448e-07
2022-07-26,algo,-0.4160007251645274,-0.4159996043142002,-1.1208503272186476e-06
2022-07-27,algo,-0.4159993473430034,-0.41600006112757537,7.137845719484837e-07
2022-07-28,algo,-0.4159987557360213,-0.41599769984561635,-1.0558904049440265e-06
2022-07-29,algo,-0.4159987168145094,-0.41599946054228076,7.437277713684409e-07
2022-07-30,algo,-0.4159986234028806,-0.415998580986205,-4.241667556081907e-08
2022-07-31,algo,-0.4159987713046261,-0.4159985599235316,-2.113810945170158e-07
2022-08-01,algo,-0.4159982808935752,-0.4159985965865509,3.156929757053284e-07
2022-08-02,algo,-0.4159995030290513,-0.41599925166127477,-2.5136777653811393e-07
2022-08-03,algo,-0.4159995030290513,-0.4159993728152487,-1.30213802629342e-07
2022-08-04,algo,-0.4159987713046261,-0.4159990362545595,2.649499333817751e-07
2022-08-05,algo,-0.4159969964836799,-0.4159972764019234,2.7991824352868733e-07
2022-08-06,algo,-0.4159977515610124,-0.4159977427289465,-8.832065856445581e-09
2022-08-07,algo,-0.4159972300127518,-0.4159966240443958,-6.059683559933582e-07
2022-08-08,algo,-0.4159966851115841,-0.4159967767319029,9.162031877618659e-08
2022-08-09,algo,-0.4159980629331081,-0.4159979637907973,-9.914231080543345e-08
2022-08-10,algo,-0.4159965683470482,-0.41599738779242035,8.194453721688255e-07
2022-08-11,algo,-0.4159968096604224,-0.41599708904180455,2.793813821400093e-07
2022-08-12,algo,-0.4159964593668147,-0.4159957449124513,-7.144543633930134e-07
2022-08-13,algo,-0.4159962414063476,-0.41599580625087906,-4.3515546854777654e-07
2022-08-14,algo,-0.415996583915653,-0.415996196753839,-3.871618139972277e-07
2022-08-15,algo,-0.4159970821110063,-0.4159975287770388,4.4666603254972514e-07
2022-08-16,algo,-0.4159974868947309,-0.41599790025581557,4.1336108469458566e-07
